loss,mae,val_loss,val_mae
32.39303207397461,5.530025005340576,28.638717651367188,5.187249660491943
27.086828231811523,5.017412185668945,23.347442626953125,4.619709014892578
20.980897903442383,4.3358845710754395,17.25592041015625,3.8637402057647705
14.112957000732422,3.4422671794891357,10.925368309020996,2.907587766647339
8.05722427368164,2.4908461570739746,6.043920040130615,2.0440773963928223
4.482062816619873,1.784862756729126,3.976588726043701,1.6664959192276
3.5927822589874268,1.5263092517852783,3.1321582794189453,1.448018193244934
3.058598041534424,1.408721685409546,2.6256887912750244,1.348605990409851
2.436786413192749,1.2879387140274048,2.2882444858551025,1.2702233791351318
2.0876450538635254,1.1946195363998413,1.9572643041610718,1.1649243831634521
1.8087759017944336,1.1028860807418823,1.7107970714569092,1.0786306858062744
1.5864832401275635,1.0248630046844482,1.5149787664413452,1.0054699182510376
1.3981026411056519,0.9588237404823303,1.3792229890823364,0.9517504572868347
1.2494572401046753,0.909237265586853,1.2674154043197632,0.9096406698226929
1.122349500656128,0.8546026945114136,1.1502176523208618,0.8652869462966919
1.009537935256958,0.8094519972801208,1.0526223182678223,0.8242532014846802
0.9143161177635193,0.7699864506721497,0.9674680829048157,0.7925857901573181
0.8314247131347656,0.7357460856437683,0.8942440152168274,0.7691367268562317
0.7634203433990479,0.7058802843093872,0.8247388005256653,0.7438936829566956
0.705744206905365,0.6792831420898438,0.7658376693725586,0.7236279249191284
0.6501243114471436,0.6503986716270447,0.7098093032836914,0.7020509839057922
0.5969420671463013,0.6241235136985779,0.6624866724014282,0.6798274517059326
0.5523740649223328,0.6014015674591064,0.6149083971977234,0.6578747630119324
0.5129104852676392,0.5794745683670044,0.5655966401100159,0.6285620927810669
0.4741540551185608,0.556427538394928,0.5200678110122681,0.6095365285873413
0.4365343451499939,0.535620927810669,0.4812101423740387,0.582714855670929
0.40837928652763367,0.5143793225288391,0.44139283895492554,0.5577667355537415
0.37050551176071167,0.4903828501701355,0.4095892310142517,0.5342176556587219
0.34726741909980774,0.47496500611305237,0.3832467496395111,0.5172044038772583
0.3242891728878021,0.4582400321960449,0.3557250499725342,0.49649667739868164
0.2945098280906677,0.4341975450515747,0.32726311683654785,0.4734402596950531
0.27361708879470825,0.42168882489204407,0.301923930644989,0.4490323066711426
0.2507230341434479,0.40145936608314514,0.27334120869636536,0.4227313995361328
0.2306322604417801,0.3842393755912781,0.24891582131385803,0.4012978672981262
0.21085196733474731,0.3674454092979431,0.2307012528181076,0.3809558153152466
0.20024679601192474,0.35265132784843445,0.21231484413146973,0.36313900351524353
0.18063794076442719,0.34344324469566345,0.20045094192028046,0.35389187932014465
0.1635155975818634,0.3213392496109009,0.18731920421123505,0.33733296394348145
0.15190817415714264,0.3083804249763489,0.17134658992290497,0.32661983370780945
0.13677114248275757,0.2940860986709595,0.16347169876098633,0.3096722662448883
0.1269458532333374,0.283069908618927,0.1515463888645172,0.2985241413116455
0.11582846194505692,0.2672704756259918,0.1480979025363922,0.29189205169677734
0.1092274859547615,0.26465433835983276,0.13559117913246155,0.2816273272037506
0.09953626990318298,0.2472398281097412,0.13426309823989868,0.2745712399482727
0.0926012471318245,0.2385188639163971,0.12512318789958954,0.26765361428260803
0.08657675981521606,0.22987429797649384,0.12169096618890762,0.2566330134868622
0.08218226581811905,0.2251221239566803,0.11334463208913803,0.2492540180683136
0.07662921398878098,0.21682387590408325,0.11214204877614975,0.24960581958293915
0.07300583273172379,0.21172887086868286,0.10531634092330933,0.23916950821876526
0.06873207539319992,0.20741307735443115,0.10748249292373657,0.24042625725269318
0.06498458236455917,0.20151196420192719,0.09935613721609116,0.23406963050365448
0.06148947775363922,0.19545458257198334,0.09884890168905258,0.2324257791042328
0.05829267576336861,0.189817875623703,0.09375640004873276,0.22457976639270782
0.05603664740920067,0.1868494153022766,0.09177828580141068,0.22160787880420685
0.053254783153533936,0.18273170292377472,0.09130285680294037,0.22264865040779114
0.05114133283495903,0.17881019413471222,0.08849750459194183,0.2192421406507492
0.048879943788051605,0.17445378005504608,0.0863458439707756,0.21379609405994415
0.047110021114349365,0.17177560925483704,0.08293602615594864,0.21005114912986755
0.04489501938223839,0.16757887601852417,0.08297710120677948,0.21043924987316132
0.04260296747088432,0.16285744309425354,0.08080293238162994,0.21021275222301483
0.04195009544491768,0.1605437994003296,0.08105169981718063,0.20999200642108917
0.041491348296403885,0.1600198894739151,0.07919137179851532,0.20384052395820618
0.04002648964524269,0.15726317465305328,0.07904334366321564,0.21145181357860565
0.037240687757730484,0.15203256905078888,0.07758186757564545,0.20043547451496124
0.03633863478899002,0.15061233937740326,0.07590440660715103,0.20143237709999084
0.035290732979774475,0.14780236780643463,0.07491637766361237,0.20259375870227814
0.03382669761776924,0.1441403031349182,0.07350456714630127,0.19988512992858887
0.03332020342350006,0.14474700391292572,0.07085887342691422,0.19484442472457886
0.032230306416749954,0.14114850759506226,0.07270218431949615,0.2004978358745575
0.031342633068561554,0.1383259892463684,0.07269793003797531,0.20047669112682343
0.03022531047463417,0.13598304986953735,0.07046957314014435,0.19425860047340393
0.029928676784038544,0.1362326741218567,0.06797601282596588,0.19066482782363892
0.029553724452853203,0.13528858125209808,0.07002627849578857,0.1976933628320694
0.029300397261977196,0.13376565277576447,0.06903041899204254,0.19209392368793488
0.028249207884073257,0.13157746195793152,0.06630375236272812,0.19194166362285614
0.027395356446504593,0.12897585332393646,0.06930410861968994,0.1929078996181488
0.027481360360980034,0.1307208091020584,0.06704871356487274,0.1881294548511505
0.027400650084018707,0.1295221447944641,0.0642583891749382,0.19062647223472595
0.025410395115613937,0.12503744661808014,0.0684131532907486,0.19136971235275269
0.02499636821448803,0.12374240905046463,0.0638849288225174,0.18395432829856873
0.024776296690106392,0.12404648959636688,0.06640326231718063,0.1905921846628189
0.024380525574088097,0.12294613569974899,0.0629173293709755,0.18537501990795135
0.02261696569621563,0.1168595552444458,0.0658242255449295,0.18774846196174622
0.02233857288956642,0.11658714711666107,0.06258171796798706,0.1850777119398117
0.02211446315050125,0.11560038477182388,0.06094326823949814,0.18183335661888123
0.021741390228271484,0.11553160846233368,0.0606316439807415,0.18118399381637573
0.021301226690411568,0.11329243332147598,0.060861825942993164,0.18097181618213654
0.021059570834040642,0.11322622746229172,0.05979154631495476,0.18026556074619293
0.020415499806404114,0.11111211031675339,0.060291897505521774,0.18254277110099792
0.020131750032305717,0.10976216197013855,0.059529196470975876,0.17805346846580505
0.0195324644446373,0.10865715891122818,0.05936611816287041,0.17892058193683624
0.01905994676053524,0.1075446605682373,0.05944443866610527,0.1763152778148651
0.018468601629137993,0.10594165325164795,0.058868251740932465,0.17858362197875977
0.01880216971039772,0.10660463571548462,0.05980123206973076,0.1766943335533142
0.01817210018634796,0.10458224266767502,0.0576244480907917,0.17680740356445312
0.018357370048761368,0.10519099235534668,0.05907353013753891,0.1773352473974228
0.017987485975027084,0.10386195033788681,0.05773515626788139,0.1746951788663864
0.017823699861764908,0.10341960191726685,0.05721772462129593,0.17494824528694153
0.01695706509053707,0.10010562092065811,0.060878463089466095,0.18183478713035583
0.016690297052264214,0.10075660794973373,0.05603295564651489,0.17419511079788208
